strategy,scaling_point,selection_metric,n_runs,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_trapezoidal_mean,test_pr_auc_trapezoidal_std,test_loss_mean,test_loss_std
FedAdam,128,Loss,5,0.8249418123268185,0.0005212998202685,0.420150783843379,0.0018623456694981,0.4200130861642145,0.0018710326890721,0.4921165213116897,0.0011230377214378
FedAdam,256,Loss,5,0.8243698986940554,0.0005100545345183,0.4189166381843208,0.003702959364094,0.4187762833068393,0.0036992395390775,0.4925139995038986,0.0009491030265597
FedAdam,512,Loss,5,0.8247707495929271,0.0006211587785769,0.4200600221778964,0.0026083880540103,0.4199247826891238,0.0026066138104277,0.4921525350396766,0.0007450519836906
FedAdam,1024,Loss,5,0.8248916213728732,0.0008657745041689,0.4208759536221204,0.0019127037365943,0.420739190029132,0.0019176329770439,0.4919775699122125,0.0009689899558538
FedAdam,2048,Loss,5,0.8244298732784507,0.0003820197883546,0.4191971752643432,0.0026002533076306,0.4190521747342946,0.0026172359633193,0.4929157224138353,0.0004846043447674
FedAdam,4096,Loss,5,0.8242295464719562,0.0008328441288983,0.4192289230818164,0.0031176938493552,0.4190840273592625,0.0031432092508063,0.4928528667919256,0.000931106143416
FedAdam,8192,Loss,5,0.8244057953301441,0.0002927308414829,0.4201052808124427,0.0017018264467262,0.4199364207473818,0.0016904187867954,0.4933357986412097,0.0007116665259426
FedAdam,16384,Loss,5,0.8242140279449848,0.0016417678383103,0.4188324193056466,0.0056188802462202,0.4186723767701495,0.0056130433573046,0.5016997145096092,0.0015940778993981
FedAdam,2,PRROC,5,0.8242910112288644,0.0002488781840822,0.4175787203073305,0.0002020158869414,0.4174309316438161,0.0002027883662539,0.493625133419452,0.0008988443861124
FedAdam,4,PRROC,5,0.82507234657971,0.0005720451931743,0.4209963335831203,0.0028514128748523,0.4208360425645954,0.0028414405458443,0.4925502904723872,0.001328778712257
FedAdam,8,PRROC,5,0.8246489688077479,0.0012783146318509,0.4198782183899524,0.0037201360158916,0.4197346441432666,0.0037196939891135,0.4932143663422629,0.0024204251873458
FedAdam,16,PRROC,5,0.8244774301905038,0.0009711516579277,0.4203426296778593,0.0031114493798991,0.4201963889759347,0.0031090272548753,0.4937067306698035,0.0021074770612418
FedAdam,32,PRROC,5,0.8245343952743234,0.0010414640675853,0.4202964619470722,0.0046421456731635,0.4201551858836508,0.0046313837307562,0.4924552881378107,0.0014319130771115
FedAdam,64,PRROC,5,0.8254054642786018,0.0004548588779046,0.4230303155301187,0.0012745436524432,0.4228747351485208,0.0012701043905771,0.4918690024804107,0.0008468282765237
FedAdam,128,PRROC,5,0.8249384795235978,0.0005224303747477,0.4202109329754339,0.0018092161696774,0.4200734108125618,0.0018176154587429,0.4921647160347963,0.0011277111604171
FedAdam,256,PRROC,5,0.824325166306816,0.0005010633356939,0.4191015203486268,0.0037693220563733,0.4189598733712149,0.0037664078493653,0.4932469093537307,0.0016358906054013
FedAdam,512,PRROC,5,0.8247771952369474,0.000354005390724,0.4198801847143799,0.0022215670266275,0.4197450811675811,0.0022168045952472,0.4927239556329461,0.0014616908509423
FedAdam,1024,PRROC,5,0.8250538781590636,0.0008160539846201,0.421330314992162,0.0020641609712855,0.4211947045321713,0.002070547687736,0.4924042777790305,0.0015028622736354
FedAdam,2048,PRROC,5,0.8244744339719009,0.000402217026653,0.4193869017781376,0.0028069245943876,0.419242385611652,0.0028222581942974,0.4930133579626192,0.0005520589270926
FedAdam,4096,PRROC,5,0.8242304159552226,0.0008440197453921,0.419172547108409,0.0031580316134139,0.4190271045462409,0.0031845003800177,0.4943452276142404,0.0021673173602524
FedAdam,8192,PRROC,5,0.824662842313845,0.0001875643660003,0.4212695958906478,0.00127821138649,0.4211086274325436,0.0012867268577206,0.4950484828186101,0.0016190432175289
FedAdam,16384,PRROC,5,0.8248935492025742,0.001640242188981,0.4223115565717686,0.0043789884051994,0.4221765951206026,0.0043568962324276,0.5106881278558527,0.0052380195727925
FedAdam,2,ROC,5,0.8243480294405737,0.0002883248801661,0.4175460484680721,0.0011770998975476,0.4173979496490516,0.0011907398008765,0.4933501241465949,0.0014789802883175
FedAdam,4,ROC,5,0.8251436215310128,0.0004939429015247,0.4210636843550887,0.0027901074566379,0.4209056025296528,0.0027803589017371,0.4920073130002664,0.000543850389668
FedAdam,8,ROC,5,0.8246880045246302,0.0012915926219808,0.4199934190517753,0.0037436191374378,0.4198500511827004,0.0037424980764836,0.4932873624534009,0.0024463408351398
FedAdam,16,ROC,5,0.8245044891317379,0.001025640555943,0.4204752429234183,0.0031565649378474,0.4203344072451614,0.0031518917026066,0.4930445818402312,0.0015426955013642
FedAdam,32,ROC,5,0.8245360918033345,0.00104326624318,0.4202445519898786,0.0045644705305612,0.4201032491770628,0.0045539646267734,0.4924576972360081,0.0014292611906787
FedAdam,64,ROC,5,0.8254054642786018,0.0004548588779046,0.4230303155301187,0.0012745436524432,0.4228747351485208,0.0012701043905771,0.4918690024804107,0.0008468282765237
FedAdam,128,ROC,5,0.8249203288984374,0.0004838941667359,0.4200208228326536,0.0019175247343147,0.4198830906222681,0.0019263034708053,0.4923375995888112,0.0009870535606241
FedAdam,256,ROC,5,0.8244032341771247,0.0004567546189696,0.4192204861822618,0.0037462260037748,0.4190808015670706,0.0037427779236049,0.4932013857335725,0.0016436374649362
FedAdam,512,ROC,5,0.824890829637738,0.0005507825775325,0.4202601570067558,0.0027712067670895,0.4201259128161679,0.002768052618849,0.49272327658244,0.0016170613285926
FedAdam,1024,ROC,5,0.8250538781590636,0.0008160539846201,0.421330314992162,0.0020641609712855,0.4211947045321713,0.002070547687736,0.4924042777790305,0.0015028622736354
FedAdam,2048,ROC,5,0.8244744339719009,0.000402217026653,0.4193869017781376,0.0028069245943876,0.419242385611652,0.0028222581942974,0.4930133579626192,0.0005520589270926
FedAdam,4096,ROC,5,0.8244609595728767,0.0006213436738117,0.420039894237358,0.002256340181557,0.4198957814699119,0.0022827617004293,0.4934484772365321,0.0015877784189295
FedAdam,8192,ROC,5,0.8247318959362516,0.0002503299911032,0.4215154176532487,0.0015940547237966,0.4213549765717294,0.0015977420433311,0.4953738197067961,0.0015883856288706
FedAdam,16384,ROC,5,0.8250539406815192,0.0014413140542469,0.4213374352661582,0.0066904268548188,0.4211865425447983,0.0067022753337313,0.5096101352402553,0.0064087720639987
