 strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,selected_threshold_min,selected_threshold_max,test_mcc_mean,test_mcc_std,test_mcc_min,test_mcc_max,test_recall_mean,test_recall_std,test_recall_min,test_recall_max,test_specificity_mean,test_specificity_std,test_specificity_min,test_specificity_max,validation_mcc_mean,validation_mcc_std,validation_mcc_min,validation_mcc_max,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,validation_specificity_mean,validation_specificity_std,validation_specificity_min,validation_specificity_max,test_precision_mean,test_precision_std,test_precision_min,test_precision_max,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_false_positive_rate_mean,test_false_positive_rate_std,test_false_positive_rate_min,test_false_positive_rate_max,test_false_positives_per_1000_negatives_mean,test_false_positives_per_1000_negatives_std,test_false_positives_per_1000_negatives_min,test_false_positives_per_1000_negatives_max
FedProx,mcc_optimal,2048,5,0.6961683869361878,0.0164790326555183,0.6798362731933594,0.7162085175514221,0.3514031492972831,0.0053320940166756,0.3454300043624934,0.3594790096945107,0.6465412363842128,0.0259522611913544,0.614655538265667,0.6718064789927854,0.7996610790510215,0.0148322656391212,0.7840981954749473,0.8204634972977924,0.3610866155132067,0.0042594445126846,0.3571637477810724,0.3674468217264283,0.648939179632249,0.0246386552621405,0.6158415841584158,0.6721357850070722,0.8063665094123573,0.0154181341420987,0.7889891448724408,0.8276462236064672,0.3435544098239199,0.0086296444336801,0.3332390381895332,0.3565859663520722,0.4483665378031083,0.0039608069436974,0.444339667122448,0.4534300854537643,0.7231011577176171,0.006213341885163,0.7162636151717341,0.7313758968198332,0.2003389209489786,0.0148322656391212,0.1795365027022075,0.2159018045250527,200.33892094897865,14.832265639121292,179.53650270220754,215.9018045250527
FedProx,mcc_optimal,4096,5,0.6728492498397827,0.026177567636868,0.6451794505119324,0.7088867425918579,0.3514534976745983,0.0037773864807008,0.3452247053082549,0.3547042896663251,0.6675060121657943,0.0387825419377493,0.601640967605036,0.7050502192672231,0.7861500412201153,0.021553350082922,0.764152239626271,0.8222039021709261,0.3611674440133265,0.0033245272822249,0.3555303081692985,0.3636371153198675,0.672984441301273,0.0346185200357077,0.6161244695898161,0.7106082036775107,0.7912426143910594,0.0210519258165435,0.7692941876975221,0.8262263546008336,0.3363970592728376,0.0104569617905822,0.3261139828567689,0.3539152866772073,0.4466971758038203,0.0013879894660211,0.445666981033218,0.4490792934986847,0.726828026692955,0.0086704524860395,0.7119224348879811,0.734601229446747,0.2138499587798845,0.021553350082922,0.1777960978290739,0.235847760373729,213.8499587798846,21.553350082922073,177.79609782907391,235.84776037372905
FedProx,mcc_optimal,8192,5,0.6491156101226807,0.0309249926342339,0.6079264283180237,0.6808599233627319,0.3500336504426521,0.0036086714108667,0.3459841854854425,0.3556239975973376,0.6627245720752581,0.0423175047372424,0.6172018673079643,0.7193379544490027,0.7876156453238069,0.0283295340992703,0.748351195383347,0.8168910872950444,0.3613565136481695,0.0043324156455108,0.3549419113937722,0.3667371911762018,0.6667043847241867,0.0458494368078648,0.6147100424328147,0.7258840169731259,0.7950441991480786,0.0284412166840694,0.7576604222965236,0.824577474465259,0.33696219548807,0.0155685534309458,0.3163493840985442,0.3557328176617517,0.4458134572338029,0.0049222983426187,0.4394417318411615,0.4532854209445585,0.7251701086995326,0.0072611758590226,0.7153175224604309,0.7338445749161748,0.212384354676193,0.0283295340992703,0.1831089127049555,0.2516488046166529,212.3843546761931,28.329534099270376,183.10891270495551,251.64880461665297
FedProx,mcc_optimal,16384,5,0.5996578574180603,0.0052670000556823,0.5926883816719055,0.6074913740158081,0.3496262908640409,0.0023130807482767,0.3466903077040575,0.353104878871001,0.653303154618758,0.0082038623621737,0.6456358749469515,0.6668552836327628,0.7940001832005129,0.0060804435508238,0.7848080974626729,0.8018915452963268,0.3583443870842402,0.0031224179976696,0.3527826415167854,0.3600051209220705,0.6562942008486562,0.0100055101464369,0.6458274398868459,0.6724186704384724,0.7996885448632803,0.0060467265408401,0.79077543168598,0.807539046397655,0.3393023627351398,0.0040530013878746,0.3340656225639572,0.3453651153991676,0.4465929395257115,0.0021401768580026,0.4444983034415899,0.450009859988168,0.7236516689096355,0.0015559710398811,0.7215278083101168,0.7258316905477178,0.205999816799487,0.0060804435508238,0.1981084547036732,0.2151919025373271,205.99981679948704,6.080443550823825,198.10845470367323,215.1919025373271
FedProx,minimum_recall,2,5,0.5972170948982238,0.0115070682817365,0.5873941779136658,0.6129001975059509,0.3549502331919435,0.0008603172240339,0.354063536412753,0.3561192792667447,0.796520016975527,0.0039236466061143,0.7919083321544773,0.8012448719762343,0.6984840157552441,0.0034765359592844,0.6950169460474489,0.7021846661170651,0.3630520286955655,0.002843814613995,0.3595626342320235,0.366198893169553,0.8,0.0,0.8,0.8,0.704841295286951,0.0031587600705353,0.700957266523153,0.7083314249072505,0.2995553517781702,0.0014508274560711,0.2979811290917716,0.301245570707613,0.435368606522468,0.0010384349803364,0.4341781874039938,0.4367386651099436,0.7475020163653856,0.0005411417085674,0.7470023527750699,0.7482568593645026,0.3015159842447558,0.0034765359592844,0.2978153338829349,0.3049830539525511,301.5159842447559,3.4765359592844582,297.8153338829349,304.9830539525511
FedProx,minimum_recall,4,5,0.6001363635063172,0.0051125819431829,0.5944680571556091,0.6072379350662231,0.3550901226778509,0.0020117899924063,0.3531017023288734,0.3582120399018736,0.7964068467958694,0.0039221162231895,0.7928985712264818,0.802659499221955,0.698735916460566,0.0022264115526218,0.6954749473298525,0.7006274617568929,0.3633431621491495,0.0015911519192107,0.3612826258318763,0.3655341322240502,0.8,0.0,0.8,0.8,0.7051710713140659,0.0017656149193785,0.7028809600146567,0.7075985892914396,0.2996937315911764,0.0011454536784708,0.2977768389924486,0.300572468032743,0.4355013810904667,0.0013419454036115,0.4336691532723217,0.4371845744885773,0.7475713816282177,0.0014695099935624,0.7463508153375241,0.7500290259689513,0.3012640835394339,0.0022264115526219,0.299372538243107,0.3045250526701475,301.26408353943395,2.226411552621895,299.37253824310704,304.5250526701475
FedProx,minimum_recall,8,5,0.5926364898681641,0.0063003098884461,0.5832352042198181,0.598623514175415,0.3534707475594429,0.0014679993093374,0.3518504013779212,0.3557891821542352,0.7963502617060404,0.0051953618021844,0.791201018531617,0.8047814400905361,0.69693597142072,0.0047931590244129,0.6884675277090776,0.7000778602180087,0.3616924208000673,0.0038347235574796,0.3550943610390322,0.3646220041197534,0.8,0.0,0.8,0.8,0.7033206613841432,0.0042984114075631,0.6959190216644529,0.7065909403196995,0.2984469660120359,0.0020446773083575,0.2948737884206707,0.3000372717107715,0.4341664751811923,0.0015870810659379,0.4316060996889462,0.4359767891682785,0.7466431165633802,0.0008781632144558,0.7456394393748128,0.7480491050198819,0.30306402857928,0.0047931590244129,0.2999221397819913,0.3115324722909224,303.06402857928003,4.793159024412922,299.92213978199135,311.5324722909224
FedProx,minimum_recall,16,5,0.583736777305603,0.0079073472762667,0.573513388633728,0.59358149766922,0.3483584153055911,0.0010765264372112,0.3470251610162029,0.3499022801658626,0.7990380534729099,0.0053462804453043,0.7936058848493422,0.8071863064082614,0.6889896491710177,0.0039018712247632,0.6830173124484749,0.692726939635431,0.3551654131298224,0.0046563726935653,0.3486466229969754,0.360872395954538,0.8,0.0,0.8,0.8,0.6959739843356388,0.0052854855913158,0.6885448632803555,0.7024229377547749,0.2937453599943421,0.0013287742431339,0.2918968692449355,0.2948286735337397,0.4295626678394393,0.0009008884926128,0.4285009674849186,0.4306205532092987,0.7440138513219638,0.0009841973518148,0.7431664122423867,0.7451018094283681,0.3110103508289823,0.0039018712247632,0.307273060364569,0.3169826875515251,311.0103508289823,3.9018712247632337,307.273060364569,316.98268755152515
FedProx,minimum_recall,32,5,0.5015923231840134,0.1556864428023584,0.2231640666723251,0.5768868923187256,0.3371880872540492,0.006425932444888,0.3259556951539189,0.3413998974193417,0.8003678030838873,0.002551040108383,0.7982741547602207,0.8047814400905361,0.6748145094806265,0.0075582944347461,0.6619034533296694,0.6815288082806632,0.3433030742742343,0.0060303810708752,0.3330706315169288,0.3477738226929793,0.8,0.0,0.8,0.8,0.6822974396555673,0.0071045586575692,0.6702239728850822,0.6875372143086154,0.2849739483091896,0.0046493426586565,0.2768771122104129,0.2886445012787724,0.4202812386215352,0.0051138409693444,0.4113366804918867,0.4239828693790149,0.737591156282257,0.0039029453345265,0.7307961176678054,0.7402010159140965,0.3251854905193734,0.0075582944347461,0.3184711917193368,0.3380965466703306,325.18549051937345,7.5582944347461405,318.4711917193368,338.0965466703306
FedProx,minimum_recall,64,5,0.5689733386039734,0.0088442693333548,0.5593429207801819,0.5820150971412659,0.337669245579926,0.0018144046228519,0.3356108394785101,0.3391988280440077,0.8001131701796578,0.0074412620341419,0.7917668694299053,0.8093082472768426,0.6756068516991848,0.006627216835118,0.6657964642300999,0.6816891087295044,0.3449150278474561,0.0068074849903997,0.3361761599762075,0.3532009610293418,0.8,0.0,0.8,0.8,0.6841661704758851,0.0079349365774478,0.6739339531901251,0.6937663170430083,0.2853770091060408,0.0024277151553907,0.2816145705143982,0.287873354167734,0.4206830005001453,0.0018842101692488,0.4178352322524101,0.4226718820520536,0.7378600109394213,0.0012301359066459,0.7358806867072583,0.7390419743111623,0.3243931483008152,0.006627216835118,0.3183108912704956,0.3342035357699001,324.39314830081526,6.62721683511806,318.31089127049563,334.20353576990016
