client_id,samples,positives,negatives,positive_ratio,negative_ratio,label_entropy
102,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
103,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
104,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
105,11,0,11,0.0,1.0,0.0
106,11,0,11,0.0,1.0,0.0
107,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
108,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
109,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
110,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
111,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
112,11,0,11,0.0,1.0,0.0
113,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
114,11,0,11,0.0,1.0,0.0
115,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
116,11,0,11,0.0,1.0,0.0
117,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
118,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
119,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
120,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
121,11,0,11,0.0,1.0,0.0
122,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
123,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
124,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
125,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
126,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
127,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
128,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
129,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
130,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
131,11,0,11,0.0,1.0,0.0
132,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
