strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
FedProx,8,2,80,1,80,0.4172273997341264,80,0.99,0.41305512573678516,51,0.4133809124805257,29,70,80,11,11,True,,0.4169272736146254,6.21737354633122e-05,0.0006217373546331117,0.00023709643500975465,0.4172273997341264
FedProx,8,3,80,1,80,0.417321563324435,80,0.99,0.41314834769119063,44,0.4135426004723294,36,70,80,11,11,True,,0.417056777601583,4.459872335801328e-05,0.00044598723358013626,0.00016547401252125482,0.417321563324435
FedProx,8,4,80,1,80,0.4112789681487118,80,0.99,0.4071661784672247,57,0.4072990074613089,23,70,80,11,11,True,,0.41083754232071695,8.036331205139167e-05,0.0008036331205139025,0.00029015424142558497,0.4112789681487118
FedProx,8,5,80,1,80,0.4148630343858277,80,0.99,0.41071440404196946,52,0.4107183058406763,28,70,80,11,11,True,,0.4144552489893758,6.983838424340007e-05,0.0006983838424339806,0.0002470120228720722,0.4148630343858277
FedProx,16,1,80,1,80,0.4061200147892359,80,0.99,0.4020588146413435,56,0.4021913328577859,24,70,80,11,11,True,,0.4053984493005059,0.00012291574270199932,0.0012291574270199557,0.0005190885213877905,0.4061200147892359
FedProx,16,2,80,1,80,0.40569824337779886,80,0.99,0.40164126094402086,60,0.40208852175612836,20,70,80,11,11,True,,0.4051970718636318,8.49253961264219e-05,0.0008492539612642291,0.0002907310171142314,0.40569824337779886
FedProx,16,3,80,1,80,0.4030175272490826,80,0.99,0.39898735197659174,57,0.39925188480680546,23,70,80,11,11,True,,0.4026270762538568,9.488322765384523e-05,0.0009488322765384694,0.000347097674194673,0.4030175272490826
FedProx,16,4,80,1,80,0.4029235881069995,79,0.99,0.3988943522259295,55,0.3989458960009419,25,70,80,11,11,True,,0.4020489917502191,0.00011872296610374067,0.0011872296610374033,0.0006255052767330566,0.4025897698701401
FedProx,16,5,80,1,80,0.4066352038908285,80,0.99,0.4025688518519202,58,0.4025698020944264,22,70,80,11,11,True,,0.40595431294086953,0.00012015721331845162,0.001201572133184503,0.0004237643783331785,0.4066352038908285
FedProx,32,1,80,1,80,0.3944154739754708,80,0.99,0.39047131923571604,57,0.39096054231264277,23,70,80,11,11,True,,0.3940229691778667,8.642759358222141e-05,0.000864275935822223,0.00028933699761686494,0.3944154739754708
