strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
FedAdam,64,5,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_64_clients.json/FedAdam/bestPRROC/run_5/model_round_45_run_1.pt,minimum_recall,0.6244625449180603,0.8,24655,15458,0.8292521260946294,0.4243731805322246,0.8248402084774671,0.4214659119623727,2828,6431,15402,707,0.3635881736021421,0.8,0.7054458846699949,0.30543255211145914,0.44208222604345787,0.7527229423349975,5614,13056,30612,1455,0.3555738923545507,0.7941717357476304,0.7010167628469359,0.30069630423138727,0.43622518357356543,0.7139957033328734,0.7475942492972831,0.2989832371530641,0.20582826425236955,0.367976033269606,298.98323715306407,25368,50737
FedAdam,128,1,highest_validation_average_precision,44,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_1/model_round_44_run_1.pt,mcc_optimal,0.7360949516296387,,24660,,0.8299896455872989,0.42584856230582374,0.8255905119575783,0.42023924812309466,2186,3405,18428,1349,0.3863432945217826,0.6183875530410183,0.8440434205102368,0.3909855124306922,0.47907078676309445,0.7312154867756275,4287,7042,36626,2782,0.3701830618093804,0.6064507002404866,0.8387377484656957,0.3784093918262865,0.466028916186542,0.8063740465537971,0.7225942243530912,0.1612622515343043,0.39354929975951336,0.22328872420521512,161.26225153430428,25368,50737
FedAdam,128,1,highest_validation_average_precision,44,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_1/model_round_44_run_1.pt,minimum_recall,0.5915828347206116,0.8,24660,15360,0.8299896455872989,0.42584856230582374,0.8255905119575783,0.42023924812309466,2828,6528,15305,707,0.3596034959780914,0.8,0.7010030687491412,0.3022659256092347,0.43875572104569077,0.7505015343745707,5675,13400,30268,1394,0.35455892642713976,0.8028009619465271,0.6931391407895943,0.29750982961992134,0.4341340269277846,0.7084179198612452,0.7479700513680607,0.30686085921040573,0.19719903805347294,0.37595837357352624,306.86085921040575,25368,50737
FedAdam,128,2,highest_validation_average_precision,43,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_2/model_round_43_run_1.pt,mcc_optimal,0.7176912426948547,,24664,,0.8287082262806177,0.42344153174457044,0.824790193752619,0.41903401769942095,2242,3758,18075,1293,0.3765940728175838,0.6342291371994342,0.8278752347364082,0.37366666666666665,0.4702674357629785,0.7310521859679212,4469,7858,35810,2600,0.3651629011754456,0.6321969161126043,0.8200512961436291,0.36253751926665045,0.46081666322953185,0.7938782348187713,0.7261241061281167,0.17994870385637085,0.3678030838873957,0.2429587874726531,179.94870385637086,25368,50737
FedAdam,128,2,highest_validation_average_precision,43,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_2/model_round_43_run_1.pt,minimum_recall,0.5925459265708923,0.8,24664,15476,0.8287082262806177,0.42344153174457044,0.824790193752619,0.41903401769942095,2828,6413,15420,707,0.36433224518031093,0.8,0.7062703247377823,0.3060274862027919,0.4427050720100188,0.7531351623688911,5612,13082,30586,1457,0.35484810038876363,0.7938888102984863,0.7004213611798114,0.3002032737776827,0.4356635484997865,0.7134438378303802,0.7471550857391489,0.29957863882018865,0.20611118970151365,0.36844906084317164,299.57863882018864,25368,50737
FedAdam,128,3,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_3/model_round_45_run_1.pt,mcc_optimal,0.7227495312690735,,24653,,0.8285654490163243,0.42185136995556655,0.8252466416921528,0.42215739874007113,2268,3840,17993,1267,0.3772101462340699,0.6415841584158416,0.8241194522053772,0.3713163064833006,0.4703930312143524,0.7328518053106094,4544,7936,35732,2525,0.3707373753590175,0.64280662045551,0.8182650911422552,0.3641025641025641,0.4648831142257916,0.7938191063720756,0.7305358557988826,0.1817349088577448,0.35719337954449004,0.24597433825413406,181.73490885774478,25368,50737
FedAdam,128,3,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_3/model_round_45_run_1.pt,minimum_recall,0.5987825393676758,0.8,24653,15376,0.8285654490163243,0.42185136995556655,0.8252466416921528,0.42215739874007113,2828,6507,15326,707,0.3604626096125495,0.8,0.701964915494893,0.3029459025174076,0.4394716394716395,0.7509824577474465,5656,13336,30332,1413,0.353993479740128,0.8001131701796577,0.6946047448932857,0.2978096040438079,0.43405855492882084,0.7093048465616808,0.7473589575364716,0.3053952551067143,0.19988682982034234,0.3743224865482784,305.3952551067143,25368,50737
FedAdam,128,4,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_4/model_round_45_run_1.pt,mcc_optimal,0.714230477809906,,24659,,0.8293048537208414,0.4270807234469785,0.8248642083536919,0.42176135056063885,2259,3749,18084,1276,0.3806741541166351,0.639038189533239,0.8282874547703019,0.37599866844207724,0.47343602640679033,0.7336628221517705,4504,7779,35889,2565,0.3710721791635886,0.637148111472627,0.8218604012091234,0.3666856631116177,0.46548160396858207,0.7961251157932081,0.7295042563408751,0.1781395987908766,0.36285188852737305,0.2420915702544494,178.1395987908766,25368,50737
FedAdam,128,4,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_4/model_round_45_run_1.pt,minimum_recall,0.5908340811729431,0.8,24659,15413,0.8293048537208414,0.4270807234469785,0.8248642083536919,0.42176135056063885,2828,6469,15364,707,0.3620221616644022,0.8,0.703705400082444,0.30418414542325484,0.4407730673316708,0.7518527000412221,5653,13255,30413,1416,0.355334986894776,0.7996887820059414,0.6964596500870203,0.2989739792680347,0.43523116603148937,0.7108421861757691,0.7480742160464808,0.30354034991297973,0.2003112179940586,0.3726668900407986,303.5403499129797,25368,50737
FedAdam,128,5,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_5/model_round_45_run_1.pt,mcc_optimal,0.6924054026603699,,24660,,0.8269360234896102,0.41953307299959536,0.8242008386224415,0.4178627138168258,2252,3784,18049,1283,0.3771509303250014,0.637057991513437,0.8266843768607154,0.37309476474486414,0.47058823529411764,0.7318711841870762,4498,7830,35838,2571,0.36898292350529827,0.6362993351251945,0.8206924979389942,0.3648604802076574,0.4637830592359643,0.7950016753059898,0.7284959165320943,0.17930750206100576,0.36370066487480546,0.242978496954885,179.30750206100578,25368,50737
FedAdam,128,5,highest_validation_average_precision,45,result/splits_iid_scaling/splits_iid_128_clients.json/FedAdam/bestPRROC/run_5/model_round_45_run_1.pt,minimum_recall,0.582816481590271,0.8,24660,15345,0.8269360234896102,0.41953307299959536,0.8242008386224415,0.4178627138168258,2828,6538,15295,707,0.35919507600264333,0.8,0.7005450464892594,0.30194319880418535,0.43841562669560497,0.7502725232446297,5646,13386,30282,1423,0.3520135236039378,0.7986985429339369,0.6934597416872768,0.29665825977301385,0.43262710240986935,0.7081222776277667,0.7460791423106068,0.30654025831272325,0.20130145706606306,0.37511086583755443,306.54025831272327,25368,50737
