strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
SCAFFOLD,512,3,80,1,80,0.3897713284964883,80,0.99,0.3858736152115234,63,0.38609427375182265,17,70,80,11,11,True,,0.38878881285712946,0.0001980033767060051,0.0019800337670600743,0.000656781874058386,0.3897713284964883
SCAFFOLD,512,4,80,1,80,0.3915407980714965,80,0.99,0.3876253900907815,61,0.38766096740239386,19,70,80,11,11,True,,0.39068767003329885,0.00017956531372906328,0.0017956531372906315,0.0005960819949194318,0.3915407980714965
SCAFFOLD,512,5,80,1,80,0.3915097085864467,80,0.99,0.3875946115005822,62,0.38780007915575565,18,70,80,11,11,True,,0.3906050511102906,0.00018781645105806407,0.0018781645105806488,0.0006231893460401793,0.3915097085864467
SCAFFOLD,1024,1,80,1,80,0.3884900401935959,80,0.99,0.38460513979165994,60,0.3846617578089796,20,70,80,11,11,True,,0.3876461460234297,0.0001728638919066188,0.0017286389190662166,0.0005735124485483675,0.3884900401935959
SCAFFOLD,1024,2,80,1,80,0.3817499920344619,80,0.99,0.3779324921141173,67,0.37799754335808944,13,70,80,11,11,True,,0.38044139493963447,0.000274847785854622,0.0027484778585462055,0.0009124971683158271,0.3817499920344619
SCAFFOLD,1024,3,80,1,80,0.3940186617027615,80,0.99,0.3900784750857339,55,0.3902427184491367,25,70,80,11,11,True,,0.3934059621891777,0.0001266145791715744,0.0012661457917157448,0.00042025642055816315,0.3940186617027615
SCAFFOLD,1024,4,80,1,80,0.39257035768040516,80,0.99,0.3886446541036011,59,0.3886782705841872,21,70,80,11,11,True,,0.3917873352027025,0.00015955799087711653,0.0015955799087711275,0.0005292849797697545,0.39257035768040516
SCAFFOLD,1024,5,80,1,80,0.3910308524467078,80,0.99,0.38712054392224077,61,0.3872477543103927,19,70,80,11,11,True,,0.3902125614149906,0.00017043775323128516,0.0017043775323128951,0.0005655482059392009,0.3910308524467078
SCAFFOLD,2048,1,80,1,80,0.3966005851385301,80,0.99,0.3926345792871448,59,0.3926597418338083,21,70,80,11,11,True,,0.39583606778144786,0.0001578508644167598,0.0015785086441676421,0.0005239248168502093,0.3966005851385301
SCAFFOLD,2048,2,80,1,80,0.38842560118241726,80,0.99,0.3845413451705931,63,0.3848066400372635,17,70,80,11,11,True,,0.3874958410515745,0.00019408370660128167,0.0019408370660127794,0.0006443715280097621,0.38842560118241726
SCAFFOLD,2048,3,80,1,80,0.3908137500933158,80,0.99,0.38690561259238265,63,0.38709798406997764,17,70,80,11,11,True,,0.38983293096783106,0.0001996347729887817,0.0019963477298878263,0.0006623073609422838,0.3908137500933158
SCAFFOLD,2048,4,80,1,80,0.38129789429277006,80,0.99,0.37748491534984235,57,0.3775483271934743,23,70,80,11,11,True,,0.3806193883169979,0.0001407729152906735,0.0014077291529067115,0.0004671080327305668,0.38129789429277006
SCAFFOLD,2048,5,80,1,80,0.38677812059175315,80,0.99,0.38291033938583563,59,0.383030976798327,21,70,80,11,11,True,,0.38602187096165275,0.00015555627501117833,0.0015555627501117608,0.0005162625639209607,0.38677812059175315
SCAFFOLD,4096,1,80,1,80,0.39248332067072045,80,0.99,0.3885584874640132,57,0.38876393409069215,23,70,80,11,11,True,,0.39180784738357544,0.00013920532097362273,0.0013920532097362326,0.0004618971638861809,0.39248332067072045
SCAFFOLD,4096,2,80,1,80,0.3978966622031722,80,0.99,0.3939176955811405,58,0.39405144381208135,22,70,80,11,11,True,,0.39721509459303345,0.00014451157056403677,0.0014451157056403763,0.0004802225804513865,0.3978966622031722
SCAFFOLD,4096,3,80,1,80,0.38956134622097044,80,0.99,0.3856657327587607,68,0.3858579689378463,12,70,80,11,11,True,,0.3881057484407838,0.00030148903644178313,0.0030148903644178215,0.001000941291049661,0.38956134622097044
