strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
SCAFFOLD,8,1,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_1/model_round_80_run_1.pt,mcc_optimal,0.6358501315116882,,24662,,0.81826399068511,0.3891746336471164,0.8148267756089029,0.38578771758430974,2604,5469,16364,931,0.3614399600789793,0.7366336633663366,0.749507626070627,0.3225566703827573,0.44865609924190214,0.7430706447184818,5212,11266,32402,1857,0.35443694884272126,0.7373037204696562,0.7420078776220573,0.31630052190799857,0.4426890899052958,0.7413524646707531,0.7396557990458568,0.25799212237794267,0.2626962795303438,0.3247728482172773,257.9921223779427,25368,50737
SCAFFOLD,8,1,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_1/model_round_80_run_1.pt,minimum_recall,0.5720215439796448,0.8,24662,15065,0.81826399068511,0.3891746336471164,0.8148267756089029,0.38578771758430974,2828,6824,15009,707,0.347694573822288,0.8,0.687445609856639,0.29299627020306673,0.4289072571471904,0.7437228049283195,5697,13932,29736,1372,0.34616888727879674,0.8059131418871127,0.6809563066776587,0.2902338376891334,0.42677354108922017,0.6983660839229754,0.7434347242823858,0.3190436933223413,0.19408685811288728,0.3868774267299998,319.04369332234126,25368,50737
SCAFFOLD,8,2,highest_validation_average_precision,79,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_2/model_round_79_run_2.pt,mcc_optimal,0.7166778445243835,,24660,,0.8212712793287299,0.4041992932467987,0.818361900523521,0.40072916723354135,2235,3760,18073,1300,0.3750135530867835,0.6322489391796322,0.8277836302844318,0.37281067556296915,0.4690451206715635,0.730016284732032,4409,7857,35811,2660,0.3589330314419102,0.6237091526382799,0.8200741962077494,0.3594488830914724,0.4560641324023791,0.7927153753670891,0.7218916744230146,0.17992580379225065,0.37629084736172014,0.24175650905650709,179.92580379225066,25368,50737
SCAFFOLD,8,2,highest_validation_average_precision,79,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_2/model_round_79_run_2.pt,minimum_recall,0.5712302923202515,0.8,24660,15128,0.8212712793287299,0.4041992932467987,0.818361900523521,0.40072916723354135,2828,6765,15068,707,0.3500392084019374,0.8,0.6901479411899418,0.294798290420098,0.4308348567946374,0.7450739705949709,5661,13731,29937,1408,0.3466096476497681,0.800820483802518,0.6855592195658148,0.29192450495049505,0.4278749858282,0.7016181484912392,0.7431898516841664,0.3144407804341852,0.19917951619748198,0.3822062794410391,314.4407804341852,25368,50737
SCAFFOLD,8,3,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_3/model_round_80_run_3.pt,mcc_optimal,0.6829389333724976,,24656,,0.8220818880312435,0.40749824353541536,0.8176573129445079,0.40026709782527553,2427,4451,17382,1108,0.37603362853092454,0.6865629420084866,0.7961342921265974,0.3528642047106717,0.4661480841256122,0.741348617067542,4770,9250,34418,2299,0.3584995644590465,0.674777196208799,0.7881744068883393,0.34022824536376606,0.452368533358623,0.7723751897037665,0.7314758015485692,0.21182559311166071,0.32522280379120105,0.2763269408912628,211.8255931116607,25368,50737
SCAFFOLD,8,3,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_3/model_round_80_run_3.pt,minimum_recall,0.5817593336105347,0.8,24656,15283,0.8220818880312435,0.40749824353541536,0.8176573129445079,0.40026709782527553,2828,6602,15231,707,0.35659150341663426,0.8,0.6976137040260156,0.29989395546129377,0.43625144620131123,0.7488068520130078,5655,13597,30071,1414,0.3486774941673006,0.7999717074550856,0.6886278281579189,0.29373571576979013,0.4296949204057597,0.7041409622169226,0.7442997678065022,0.3113721718420811,0.2000282925449144,0.37944695192857286,311.3721718420811,25368,50737
SCAFFOLD,8,4,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_4/model_round_80_run_4.pt,mcc_optimal,0.7234405279159546,,24661,,0.8221878615549655,0.3998621995236284,0.8171671061185408,0.39502881461206135,2148,3541,18292,1387,0.36985634085277797,0.6076379066478076,0.8378143177758439,0.3775707505712779,0.4657415437987858,0.7227261122118258,4243,7389,36279,2826,0.35506876693339745,0.6002263403593153,0.8307914262159934,0.3647696011004127,0.4537725255333939,0.7986676390011235,0.7155088832876544,0.16920857378400656,0.3997736596406847,0.22926069732148135,169.20857378400655,25368,50737
SCAFFOLD,8,4,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_4/model_round_80_run_4.pt,minimum_recall,0.564475953578949,0.8,24661,15246,0.8221878615549655,0.3998621995236284,0.8171671061185408,0.39502881461206135,2828,6641,15192,707,0.35501360065258575,0.8,0.6958274172124765,0.2986587812863027,0.4349430944324823,0.7479137086062383,5630,13663,30005,1439,0.3449329298778266,0.7964351393407837,0.687116423925987,0.29181568444513556,0.4271299597906077,0.7023473993338195,0.7417757816333854,0.31288357607401296,0.2035648606592163,0.3802550407000808,312.883576074013,25368,50737
SCAFFOLD,8,5,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_5/model_round_80_run_5.pt,mcc_optimal,0.6524075269699097,,24661,,0.8186511717369039,0.4015171729446838,0.8150962182363087,0.3925303627297499,2509,5078,16755,1026,0.3609248075745066,0.7097595473833097,0.7674162964320066,0.3306972452879926,0.451177845711203,0.7385879219076581,5021,10488,33180,2048,0.35336442406888785,0.7102843400763899,0.759824127507557,0.3237475014507705,0.44476924439720084,0.7529219307408794,0.7350542337919734,0.240175872492443,0.28971565992361015,0.30567435993456454,240.17587249244298,25368,50737
SCAFFOLD,8,5,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_8_clients.json/SCAFFOLD/bestPRROC/run_5/model_round_80_run_5.pt,minimum_recall,0.5690904259681702,0.8,24661,15046,0.8186511717369039,0.4015171729446838,0.8150962182363087,0.3925303627297499,2828,6847,14986,707,0.3467843636489007,0.8,0.6863921586589108,0.2922997416020672,0.42816048448145344,0.7431960793294554,5649,13865,29803,1420,0.34280635691343697,0.7991229311076531,0.6824906109737108,0.28948447268627653,0.42500846405597564,0.6987405640853814,0.7408067710406819,0.3175093890262892,0.2008770688923469,0.3846108362733311,317.5093890262892,25368,50737
